|kod_gen_func|kod_standard|kod_gen_func|name_gen_func|gen_func_skill_level|posts|education_and_training_requirements|requirements_for_practical_experience|name_sim_func|kod_sim_func|sim_func_skill_level|activities|skills|knowledge
611|3|06.017|A|Непосредственное руководство процессами разработки программного обеспечения|6|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее трех лет|Руководство разработкой проектной и технической документации|A/04.6|6|"Инициирование разработки проектной и технической документации
Контроль и оценка качества разработанной проектной и технической документации
Принятие управленческих решений по результатам контроля и оценки качества разработанной проектной и технической документации (решение о приемке разработанной документации или возврате на доработку)
"|"Применять нормативно-технические документы (стандарты и регламенты), определяющие требования к проектной и технической документации
Применять коллективную среду документирования программного обеспечения
Применять методы принятия управленческих решений
"|"Правила редактирования научно-технической документации
Нормативно-технические документы (стандарты и регламенты), определяющие требования к проектной и технической документации
Методы повышения читаемости программного кода
Методы принятия управленческих решений
Основные принципы и методы управления персоналом
"
612|4|06.017|A|Непосредственное руководство процессами разработки программного обеспечения|6|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее трех лет|Управление запросами на изменения, дефектами и проблемами в программном обеспечении|A/05.6|6|"Установление причин возникновения дефектов и проблем в программном обеспечении
Оценка запросов на изменения и предложенных решений по их осуществлению (по стоимости, трудоемкости, эффективности)
Принятие управленческих решений о реализации запросов на изменения (решения о необходимости и сроках внесения изменений в программное обеспечение и документацию)
Планирование и документирование внесения изменений в программное обеспечение
Контроль исполнения принятых управленческих решений
Планирование и контроль процессов верификации программного обеспечения
Взаимодействие с заказчиком в процессе валидации программного обеспечения
Планирование и контроль процесса ревизии программного обеспечения
Взаимодействие с внешним аудитором в процессе аудита программного обеспечения
"|"Применять методы и средства управления запросами на изменения; выявления дефектов и проблем, причин их возникновения
Применять нормативно-технические документы (стандарты и регламенты) по процессам управления изменениями и проблемами
Применять методы планирования и документирования вносимых изменений в программное обеспечение
Применять методы верификации программного обеспечения
Применять методы валидации программного обеспечения
Применять методы ревизии программного обеспечения
Применять методы аудита программного обеспечения
Применять методы принятия управленческих решений
Взаимодействовать с подразделениями организации в рамках процесса
"|"Методы и средства выявления дефектов, проблем и причин их возникновения
Методы и средства управления запросами на изменения
Методы верификации программного обеспечения
Методы валидации программного обеспечения
Методы ревизии программного обеспечения
Методы аудита программного обеспечения
Методы планирования и документирования вносимых изменений в программное обеспечение
Нормативно-технические документы (стандарты и регламенты) по процессам управления изменениями и проблемами
Методы принятия управленческих решений
Основные принципы и методы управления персоналом
"
613|5|06.017|A|Непосредственное руководство процессами разработки программного обеспечения|6|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее трех лет|Управление конфигурациями и выпусками программного продукта|A/06.6|6|"Формирование требований к компонентному составу программного продукта
Управление версиями отдельных компонентов и программного продукта в целом
Анализ требований к выпуску новой версии программного продукта
Определение перечня функциональных требований, реализуемых в новой версии программного продукта
Контроль выполнения разработки версии программного продукта
Принятие управленческих решений о выпуске версии программного продукта
"|"Применять нормативно-технические документы (стандарты и регламенты) по процессу управления изменениями
Взаимодействовать с подразделениями организации в рамках процесса
Проводить оценку работоспособности программного продукта
Применять коллективную среду разработки программного обеспечения и систему контроля версий
Документировать произведенные действия, выявленные проблемы и способы их устранения
Документировать произведенные изменения в программных продуктах с использованием системы контроля версий
Применять методы принятия управленческих решений
"|"Нормативно-технические документы (стандарты и регламенты) по процессам управления конфигурациями, изменениями и выпусками
Состав и методы использования коллективной среды разработки программного обеспечения и системы контроля версий
Методы и средства верификации работоспособности выпусков программных продуктов
Языки, утилиты и среды программирования, средства пакетного выполнения процедур
Методы принятия управленческих решений
"
614|6|06.017|A|Непосредственное руководство процессами разработки программного обеспечения|6|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее трех лет|Руководство разработкой технических спецификаций программного обеспечения|A/07.6|6|"Анализ функциональных требований к программному обеспечению
Распределение заданий на разработку технических спецификаций программного обеспечения
Согласование технических спецификаций программного обеспечения с заинтересованными сторонами
Формирование требований к программным средствам разработки
Контроль качества и сроков разработки технических спецификаций программного обеспечения
Принятие управленческих решений по разработке и изменению технических спецификаций программного обеспечения
"|"Применять нормативно-технические документы (стандарты и регламенты) в части разработки требований к программному обеспечению
Взаимодействовать с подразделениями организации в рамках процесса разработки технических спецификаций программного обеспечения
Применять методы и средства анализа функциональных требований к программному обеспечению
Применять методы и средства разработки технических спецификаций программного обеспечения
Применять метода принятия управленческих решений
"|"Нормативно-технические документы (стандарты и регламенты), лучшие мировые практики и внутренние нормативные документы в части разработай требований к программному обеспечению
Методы и средства разработки и анализа функциональных требований к программному обеспечению
Методы и средства разработки технических спецификаций программного обеспечения
Методы и средства разработки программного обеспечения
Возможности существующей программно-технической архитектуры
Возможности современных и перспективных средств разработки программных продуктов, технических средств
Методологии разработки программного обеспечения и технологии программирования
Методологии и технологии проектирования и использования баз данных
Метода принятия управленческих решений
Основные принципы и методы управления персоналом
"
615|7|06.017|A|Непосредственное руководство процессами разработки программного обеспечения|6|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее трех лет|Руководство проектированием программного обеспечения|A/08.6|6|"Анализ и согласование архитектуры программного обеспечения с заинтересованными сторонами
Распределение заданий на проектирование программного обеспечения, структуры базы данных, программных интерфейсов
Оценка качества проектирования программного обеспечения, структуры базы данных, программных интерфейсов
Принятие управленческих решений по результатам проектирования программного обеспечения, структуры базы данных, программных интерфейсов
"|"Применять принципы построения архитектуры программного обеспечения и виды архитектур программного обеспечения
Применять методологии и средства проектирования программного обеспечения
Применять метода и средства проектирования баз данных
Применять методы и средства проектирования программных интерфейсов
Применять основные принципы и методы управления персоналом
Применять методологию функциональной стандартизации для открытых систем
Взаимодействовать с подразделениями организации в рамках процесса проектирования программного обеспечения, структуры базы данных, программных интерфейсов
Применять метода принятия управленческих решений
Применять нормативно-технические документы (стандарты и регламенты) по процессу разработки архитектуры программного обеспечения
"|"Принципы построения архитектуры программного обеспечения и вида архитектур программного обеспечения
Методологии и средства проектирования программного обеспечения
Методы и средства проектирования баз данных
Метода и средства проектирования программных интерфейсов
Методы принятия управленческих решений
Основные принципы и методы управления персоналом
Методология функциональной стандартизации для открытых систем
"
616|8|06.017|B|Организация процессов разработки программного обеспечения|6|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее трех лет|Управление процессом разработки программного обеспечения|B/01.6|6|"Планирование процесса разработки программного продукта
Контроль исполнения планов разработки программного продукта
Принятие управленческих решений о корректировке планов
Принятие управленческих решений о повторном использовании программных модулей
"|"Применять методы и средства планирования и контроля (мониторинга) исполнения планов
Применять основные принципы и методы управления персоналом
Применять нормативно-технические документы (стандарты и регламенты), лучшие мировые практики управления процессом разработки программного продукта
Составлять планы процесса разработки программного продукта
Оценивать качество плана разработки программного продукта (ресурсы, сроки, риски)
Наблюдать за исполнением планов разработки программного продукта
Корректировать план разработки программного продукта
"|"Методы и средства планирования и контроля (мониторинга) исполнения планов
Методы оценки качества плана разработки программного продукта (ресурсы, сроки, риски)
Основные принципы и методы управления персоналом
Нормативно-технические документы (стандарты и регламенты), лучшие мировые практики управления процессом разработки программного продукта
"
617|9|06.017|B|Организация процессов разработки программного обеспечения|6|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее трех лет|Управление информацией в процессе разработки программного обеспечения|B/02.6|6|"Организация системы контроля версий, репозитория, системы учета задач и дефектов, системы сборки и непрерывной интеграции, базы знаний
Разработка регламентов обмена информацией в команде разработчиков
Мониторинг соблюдения регламента обмена информацией в команде разработчиков
Принятие управленческих решений по результатам мониторинга
"|"Применять методологии разработки программного обеспечения
Применять методологии управления проектами разработки программного обеспечения
Применять лучшие практики и отражать их в базе знаний
Применять основные принципы и методы управления персоналом
Применять нормативно-технические документы (стандарты и регламенты), описывающие процессы управления информацией в команде разработки
"|"Методологии разработки программного обеспечения
Методологии управления проектами разработки программного обеспечения
Методологии организации системы контроля версий, репозитория, системы учета задач и дефектов, системы сборки и непрерывной интеграции, базы знаний
Лучшие практики управления разработкой программного обеспечения
Основные принципы и методы управления персоналом
Нормативно-технические документы (стандарты и регламенты), описывающие процессы управления информацией в команде разработки
"
618|10|06.017|B|Организация процессов разработки программного обеспечения|6|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее трех лет|Разработка внутренних правил, методик и регламентов проведения работ|B/03.6|6|"Разработка внутренних правил, методик и регламентов проведения работ с системой контроля версий, репозиторием, системой учета задач и дефектов, системой сборки и непрерывной интеграции, базой знаний
Разработка внутренних правил, методик и регламентов создания приложений
Разработка внутренних правил, методик и регламентов формирования баз данных
Разработка внутренних правил, методик и регламентов создания внешних интерфейсов
"|"Применять методологии разработки программного обеспечения
Применять методологии управления проектами разработки программного обеспечения
Применять методы и средства организации проектных данных
Применять лучшие практики и отражать их в базе знаний
Применять основные принципы и методы управления персоналом
Применять нормативно-технические документы (стандарты и регламенты), описывающие процессы управления информацией в команде разработки
"|"Методологии разработки программного обеспечения
Методологии управления проектами разработки программного обеспечения
Методы и средства организации проектных данных
Лучшие практики управления разработкой программного обеспечения
Основные принципы и методы управления персоналом
Нормативно-технические документы (стандарты и регламенты), описывающие процессы управления информацией в команде разработки
"
619|11|06.017|C|Управление программно-техническими, технологическими и человеческими ресурсами|7|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее пяти лет|Управление инфраструктурой коллективной среды разработки|C/01.7|7|"Выбор инструментальных средств разработки
Определение набора библиотек повторно используемых модулей
Выбор средств создания и ведения репозитория, учета задач, сборки и непрерывной интеграции, базы знаний
Организация процесса использования инфраструктуры
Мониторинг функционирования инфраструктуры
Принятие управленческих решений
"|"Применять методологии разработки программного обеспечения
Применять методологии управления проектами разработки программного обеспечения
Применять методы и средства организации проектных данных
Применять лучшие практики и отражать их в базе знаний
Применять основные принципы и методы управления персоналом
Применять нормативно-технические документы (стандарты и регламенты), описывающие процессы управления инфраструктурой коллективной среды разработки
"|"Методологии разработки программного обеспечения
Методологии управления проектами разработки программного обеспечения
Методы и средства организации проектных данных
Лучшие практики управления разработкой программного обеспечения
Нормативно-технические документы (стандарты и регламенты), описывающие процессы управления инфраструктурой коллективной среды разработки
"
620|12|06.017|C|Управление программно-техническими, технологическими и человеческими ресурсами|7|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее пяти лет|Управление рисками разработки программного обеспечения|C/02.7|7|"Определение областей применения процесса управления рисками
Определение стратегий и приоритетов управления рисками
Выявление и отслеживание рисков в процессе разработки программного обеспечения
Анализ и оценка выявленных рисков, выбор способов реагирования на них и выделение необходимых ресурсов
"|"Применять методы и средства управления рисками
Применять нормативно-технические документы (стандарты и регламенты), описывающие процессы управления рисками
Применять основные принципы и методы управления персоналом
"|"Методы и средства управления рисками
Нормативно-технические документы (стандарты и регламенты), описывающие процессы управления рисками
Основные принципы и методы управления персоналом
"
621|13|06.017|C|Управление программно-техническими, технологическими и человеческими ресурсами|7|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее пяти лет|Управление процессами оценки сложности, трудоемкости, сроков выполнения работ|C/03.7|7|"Структурная декомпозиция работ
Определение критериев (показателей) оценки сложности, трудоемкости, сроков выполнения работ
Мониторинг и оценка по выбранным критериям (показателям) сложности, трудоемкости и сроков выполнения работ
Принятие управленческих решений
"|"Применять нормативно-технические документы (стандарты и регламенты), описывающие процессы оценки сложности, трудоемкости, сроков выполнения работ
Применять методы и средства оценки сложности, трудоемкости и сроков выполнения работ
Применять основные принципы и методы управления персоналом
"|"Нормативно-технические документы (стандарты и регламенты), описывающие процессы оценки сложности, трудоемкости, сроков выполнения работ
Методы оценки сложности, трудоемкости и сроков выполнения работ
Программные средства для оценки сложности, трудоемкости и сроков выполнения работ
Основные принципы и методы управления персоналом
"
622|14|06.017|C|Управление программно-техническими, технологическими и человеческими ресурсами|7|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее пяти лет|Поиск и подбор персонала|C/04.7|7|"Определение требований к квалификации персонала для выполнения задач по разработке программного обеспечения
Формирование запросов на поиск персонала
Интервьюирование кандидатов
Принятие управленческих решений по отбору и приему персонала на работу
"|"Применять профессиональные стандарты
Применять нормативные документы, регламентирующие процессы управления персоналом
Применять основные принципы и методы управления персоналом
Определять потребность в персонале
Осуществлять отбор и оценку кандидатов
"|"Профессиональные стандарты
Состояние выполнения плана работ
Нормативные документы, регламентирующие процессы управления персоналом
Основные принципы и методы управления персоналом
"
623|15|06.017|C|Управление программно-техническими, технологическими и человеческими ресурсами|7|"Руководитель группы разработки 
Начальник отдела разработки"|"Высшее образование - специалитет, магистратура 
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Практическая работа в области разработки программного обеспечения не менее пяти лет|Организация развития персонала|C/05.7|7|"Планирование и организация обучения и развития персонала
Организация наставничества
Оценка квалификации персонала
"|"Применять профессиональные стандарты
Применять нормативные документы, регламентирующие процессы управления персоналом
Применять основные принципы и методы управления персоналом
Применять методы планирования развития и обучения персонала
Применять методы оценки квалификации персонала
"|"Профессиональные стандарты
Методы планирования развития персонала
Методы оценки квалификации персонала
Нормативные документы, регламентирующие процессы управления персоналом
Основные принципы и методы управления персоналом
"
624|0|06.018|A|Монтаж оборудования связи (телекоммуникаций), линейно-кабельных сооружений|6|Инженер связи (телекоммуникаций)|Высшее образование - бакалавриат|-|Выполнение монтажных работ оборудования связи (телекоммуникаций) на участках высокой сложности выполнения таких работ|A/01.6|6|"Проведение входного контроля оборудования
Выполнение монтажа технологического оборудования, линейных сооружений, антенно-фидерных устройств (на участках высокой сложности)
Обеспечение строгого соблюдения технологии работ, своевременного выявления дефектов и их устранение
"|"Проверять рабочую документацию на полноту содержания и комплектность
Проводить внешний осмотр поступившего для монтажа оборудования, кабелей на их соответствие сопроводительным документам
Пользоваться проектной и технической документацией на монтаж оборудования связи (телекоммуникаций)
Выполнять работы по монтажу аппаратуры связи различного назначения
Пользоваться приспособлениями для обеспечения безопасного выполнения работ
Пользоваться средствами индивидуальной защиты
"|"Технологии монтажа оборудования связи (телекоммуникаций) и линейно-кабельных сооружений
Принципы работы, состав и основные характеристики монтируемого оборудования
Конструктивные особенности, принципиальные, монтажные и функциональные схемы монтируемого оборудования
Принципы построения структурированных кабельных систем
Схемы операционного контроля качества
Порядок приемки оборудования в эксплуатацию
Правила и инструкции по паспортизации оборудования
Правила по охране труда
"
625|1|06.018|A|Монтаж оборудования связи (телекоммуникаций), линейно-кабельных сооружений|6|Инженер связи (телекоммуникаций)|Высшее образование - бакалавриат|-|Настройка, регулировка и испытания оборудования связи (телекоммуникаций)|A/02.6|6|"Разработка программы пусконаладочных работ
Подготовка испытательного оборудования, измерительной аппаратуры, приспособлений
Выполнение настройки, регулировки и испытаний оборудования связи (телекоммуникаций)
"|"Проводить опытную проверку работоспособности средств и оборудования сетей и организаций связи
Выбирать и использовать соответствующее тестовое и измерительное оборудование
Использовать программное обеспечение оборудования при его настройке
Анализировать полученные результаты
Пользоваться приспособлениями для обеспечения безопасного выполнения работ
Пользоваться средствами индивидуальной защиты
"|"Стандарты и протоколы информационных сигналов, видов сигнализации, назначения интерфейсов
Технологии выполнения работ по настройке, регулировке и испытаниям оборудования связи (телекоммуникаций)
Действующие отраслевые нормативы
Правила по охране труда
"
